,Characters,Dialogue
502,Finn (FN-2187),No no no. It wasn't just me. 
503,Poe Dameron ,You completed my mission Finn... That's my jacket.
504,Finn (FN-2187),Oh...
505,Poe Dameron ,No no no. Keep it. It suits you. You're a good man Finn.
506,Finn (FN-2187),Poe I need your help.
507,Announcer,PZ-4CO report to communications.
508,Poe Dameron ,General Organa... I'm sorry to interrupt. This is Finn. He needs to talk to you.
509,Leia,And I need to talk to him. That was incredibly brave what you did.  Renouncing the First Order saving this man's life.
510,Finn (FN-2187),Thank you ma'am. But a friend of mine was taken prisoner.
511,Leia,Han told me about the girl. I'm sorry.
512,Poe Dameron ,Finn's familiar with the weapon that destroyed the Hosnian system. He worked on the base.
513,Leia,We're desperate for anything you can tell us.
514,Finn (FN-2187),That's where my friend was taken. I've got to get there fast.
515,Leia,And I will do everything I can to help... but first you need to tell us all you know.
516,Woman,That sounds very scary. You must be so brave.
517,C-3PO,General... I regret to inform you...but this map recovered from BB-8... is only partially complete. And even worse it matches no charted system on record. We simply do not have enough information... to locate Master Luke.
518,Leia,Can't believe I was so foolish to think I could find Luke and bring him home.
519,Han Solo,Leia.
520,Leia,Don't do that.
521,Han Solo,Do what?
522,Leia,Anything-
523,C-3PO,Princesses.
524,Han Solo,I'm trying to be helpful.
525,Leia,When did that ever help?  And don't say the Death Star.
526,C-3PO,BB-8. You're wasting your time. It is very doubtful that R2 would have the rest of the map in his backup data. I am afraid not. R2-D2 has been in low-power mode ever since Master Luke went away. Sadly he may never be his old self again.
527,Han Solo,Listen to me will you? I know every time you... Every time you look at me you're reminded of him.
528,Leia,You think I want to forget him? I want him back.
529,Han Solo,There's nothing more we could have done. There's too much Vader in him.
530,Leia,That's why I wanted him to train with Luke. I just never should have sent him away. That's when I lost him. That's when I lost you both.
531,Han Solo,We both had to deal with it in our own way. I went back to the only thing I was ever any good at. 
532,Leia,We both did.
533,Han Solo,We lost our son. Forever.
534,Leia,No. It was Snoke. He seduced our son to the dark side. But we can still save him. Me. You.
535,Han Solo,If Luke couldn't reach him how could I?
536,Leia,Luke is a Jedi. You're his father. There is still light in him I know it.
537,Officer,General the reconnaissance report on the enemy base is coming.
538,Rey,Where am I?
539,Kylo Ren,You're my guest.
540,Rey,Where are the others?
541,Kylo Ren,Do you mean the murderers... traitors and thieves you call friends? You'll be relieved to hear I have no idea. You still want to kill me.
542,Rey,That happens when you're being hunted by a creature in a mask.
543,Kylo Ren,Tell me about the droid.
544,Rey,He's a BB unit with a selenium drive and a thermal hyperscan vindicator.
545,Kylo Ren,It's carrying a section of a navigational chart. And we have the rest. Recovered from the archives of the Empire but we need the last piece. And somehow you convinced the droid to show it to you. You. A scavenger. You know I can take whatever I want. You're so lonely. So afraid to leave. At night desperate to sleep. You imagine an ocean. I see it. I see the island. And Han Solo. You feel like he's the father you never had. He would have disappointed you.
546,Rey,Get out of my head.
547,Kylo Ren,I know you've seen the map. It's in there. And now you'll give it to me. Don't be afraid. I feel it too.
548,Rey,I'm not giving you anything.
549,Kylo Ren,We'll see. You. You're afraid. That you will never be as strong as Darth Vader.
550,Snoke,The scavenger... resisted you?
551,Kylo Ren,She is strong with the Force. Untrained but stronger than she knows.
552,Snoke,And the droid?
553,General Hux,Ren believed it was no longer valuable to us. That the girl was all we needed. As a result the droid has most likely been returned to the hands of the enemy. They may have the map already.
554,Snoke,Then the Resistance must be destroyed before they get to Skywalker.
555,General Hux,We have their location. We tracked their reconnaissance ship to the lleenium system.
556,Snoke,Good. Then we will crush them once and for all. Prepare the weapon.
557,Kylo Ren,Supreme Leader I can get the map from the girl. I just need your guidance.
558,Snoke,If what you say about this girl is true... Bring her to me.
559,Rey,You will remove these restraints... and leave this cell with the door open.
560,Storm Trooper 6,What did you say?
561,Rey,You will remove these restraints and leave this cell with the door open.
562,Storm Trooper 6,I'll tighten those restraints... scavenger scum.
563,Rey,You will remove these restraints... and leave this cell with the door open.
564,Storm Trooper 6,I will remove these restraints and leave the cell with the door open.
565,Rey,And you'll drop your weapon.
566,Storm Trooper 6,And I'll drop my weapon
567,Kylo Ren,No. No. Guards! Guards!
568,General Hux,Begin charging the weapon.
569,Officer,Yes sir. Weapon charging.
570,Poe Dameron ,The scan data from Snap's reconnaissance flight confirms Finn's report.
571,Officer,They've somehow created a hyper-lightspeed weapon built within the planet itself.
572,Officer 2,A laser cannon?
573,Officer,We're not sure how to describe a weapon of this scale.
574,Emmat,It's another Death Star.
575,Poe Dameron ,I wish that were the case Major. This was the Death Star. And this is Starkiller Base.
576,Han Solo,So it's big.
577,Unknown Creature,How is it possible to power a weapon of that size?
578,Finn (FN-2187),It uses the power of the sun. As the weapon is charged the sun is drained until it disappears.
579,Officer,Ma'am.
580,Leia,The First Order they're charging the weapon again now. Our system is the next target.
581,C-3PO,Oh my. Without the Republic fleet we're doomed.
582,Han Solo,Okay. How do we blow it up? There's always a way to do that.
583,Leia,Han's right.
584,Statura,In order for that amount of power to be contained... that base has to have some kind of thermal oscillator.
585,Finn (FN-2187),There is one. Precinct 47. Here
586,Statura,If we can destroy that oscillator... it might destabilize the core and cripple the weapon. 
587,Officer,Maybe the planet.
588,Poe Dameron ,We'll go in there we'll hit that oscillator with everything we've got.
589,Unknown Creature,They have defensive shields that our ships cannot penetrate.
590,Han Solo,We disable the shields. Kid you worked there. What do you got?
591,Finn (FN-2187),I can do it.
592,Han Solo,I like this guy.
593,Finn (FN-2187),I can disable the shields but I have to be there. On the planet.
594,Han Solo,We'll get you there.
595,Leia,Han how?
596,Han Solo,If I told you you wouldn't like it.
597,Poe Dameron ,So we disable the shields we take out the oscillator and we blow up their big gun. All right. Let's go.
598,Han Solo,Chewie check that donal capitator. Come on. Let's go. Finn be careful with those. They're explosives.
599,Finn (FN-2187),Now you tell me?
600,Leia,You know no matter how much we fought I've always hated watching you leave.
601,Han Solo,That's why I did it.  So you'd miss me.
602,Leia,I did miss you.
603,Han Solo,It wasn't all bad was it? Huh? Some of it was... good.
604,Leia,Pretty good.
605,Han Solo,Some things never change.
606,Leia,True. You still drive me crazy. If you see our son... bring him home.
607,Storm Trooper 6,Sir sensors triggered in Hangar 718. We're searching the area.
608,Kylo Ren,She's just beginning to test her powers. The longer it takes to find her... the more dangerous she becomes.
609,Announcer,All sentry droids... all sentry droids... resynchronize to Galactic Standard Time. Offset 473.
610,Finn (FN-2187),How are we getting in?
611,Han Solo,Their shields have a fractional refresh rate. Keeps anything traveling slower than lightspeed from getting through.
612,Finn (FN-2187),We're making our landing approach at lightspeed?
613,Han Solo,Chewie get ready. And... Now! I am pulling up! I get any higher... they'll see us!
614,Officer,Sir she was not found in Hangar 718. But all troops are on alert.
615,Kylo Ren,Put every hangar on lockdown. She's going to try to steal a ship to esc... Han Solo.
616,Finn (FN-2187),The flooding tunnel is over that ridge. We'll get in that way.
617,Han Solo,What was your job when you were based here?
618,Finn (FN-2187),Sanitation. 
619,Han Solo,Sanitation? Then how do you know how to disable the shields?
620,Finn (FN-2187),I don't. I'm just here to get Rey.
621,Han Solo,People are counting on us. The galaxy is counting on us.
622,Finn (FN-2187),Solo we'll figure it out. We'll use the Force.
623,Han Solo,That's not how the Force works. Oh really? You're cold?
624,Finn (FN-2187),Come on.
625,General Hux,Report.
626,Officer,Weapon charged in 15 minutes sir.
627,Storm Trooper 6,Hey!
628,Han Solo,The longer we're here the less luck we're gonna have. The shields.
629,Finn (FN-2187),I have an idea about that. You remember me?
630,Phasma,FN-2187.
631,Finn (FN-2187),Not anymore. The name's Finn and I'm in charge. I'm in charge now Phasma. I'm in charge.
632,Han Solo,Bring it down. Bring it down.
633,Finn (FN-2187),Yeah. Follow me.
634,Storm Trooper 4,Have you checked out the new T-17s?
635,Storm Trooper 7,The T-17s as far as I can tell... are a great improvement.
636,Storm Trooper 4,Yeah. That's what they tell you. But believe me they don't hold up.
637,Storm Trooper 7,They don't?
638,Storm Trooper 4,No.
639,Finn (FN-2187),You want me to blast that bucket off your head? Lower the shields.
640,Phasma,You're making a big mistake.
641,Finn (FN-2187),Do it. Solo if this works... we're not gonna have a lot of time to find Rey.
642,Han Solo,Don't worry kid. We won't leave here without her.
643,Phasma,You can't be so stupid as to think this will be easy. My troops will storm this block and kill you all.
644,Han Solo,I disagree. 
645,Finn (FN-2187),What do we do with her? 
646,Han Solo,Is there a garbage chute? Trash compactor?
647,Finn (FN-2187),Yeah there is.
648,Officer,General their shields are down.
649,C-3PO,Thank the Maker!
650,Leia,Han did it. Send them in.
651,Statura,Give Poe full authorization for attack.
652,Officer 2,Black Leader go to sub-lights on your call.
653,Poe Dameron ,Roger base. Red squad Blue squad take my lead. Dropping out of lightspeed. Almost in range. Hit the target dead center. As many runs as we can get.
654,Pilot,Approaching target.
655,Officer,Fighters incoming!
656,Officer 2,Coming at 28.336.
657,Officer 3,Forty-five! Shields up! Shields up!
658,General Hux,Dispatch all squadrons.
659,Captain,Yes General.
660,Poe Dameron ,All right. Let's light it up.
661,Pilot 2,Ah direct hit.
662,Pilot 3 ,But no damage!
663,Poe Dameron ,Yeah we gotta keep hitting it. Another bombing run. Remember when the sun is gone that weapon will be ready to fire. But as long as there's light we got a chance. Guys we got a lot of company!
664,Storm Trooper 6,We think they may be splitting up. Heading to quadrants 4 and 5.
665,Finn (FN-2187),We'll use the charges to blow that blast door. I'll go in and draw fire but I'm gonna need cover.
666,Han Solo,You sure you're up for this?
667,Finn (FN-2187),Hell no. I'll go in and try to find Rey. The troopers will be on our tail. We have to be ready for that. There's an access tunnel that leads... Why are you doing that? Hmm? Why are you doing this? I'm trying to come up with a plan.
668,Han Solo,You all right?
669,Rey,Yeah.
670,Han Solo,Good.
671,Finn (FN-2187),What happened to you? Did he hurt you?
672,Rey,Finn what are you doing here?
673,Finn (FN-2187),We came back for you. What'd he say?
674,Rey,That it was your idea. Thank you.
675,Finn (FN-2187),How did you get away?
676,Rey,I can't explain it. And you wouldn't believe it.
677,Han Solo,Escape now hug later. 
678,Pilot,I got one behind me. You see it?
679,Jess,Yeah. I'm on it. Burillo's been hit.
680,Pilot,Watch out for ground fire.
681,Han Solo,They're in trouble. We can't leave. My friend's got a bag full of explosives. Let's use them.
682,Officer,General are you seeing this?
683,Controller,Two more X-wings down. That's half our fleet destroyed.
684,C-3PO,And their weapon will be fully charged in ten minutes. It would take a miracle to save us now.
685,Han Solo,Ah. Girl knows her stuff. We'll set the charges against every other column. You're right. That's a better idea. You take the top. I'll go down below. Detonator. We'll meet back here.
686,Kylo Ren,Find them.
687,Han Solo,Ben!
688,Kylo Ren,Han Solo. I've been waiting for this day for a long time.
689,Han Solo,Take off that mask. You don't need it.
690,Kylo Ren,What do you think you'll see if I do?
691,Han Solo,The face of my son.
692,Kylo Ren,Your son is gone. He was weak and foolish like his father. 
693,Han Solo,That's what Snoke wants you to believe. But it's not true. My son is alive.
694,Kylo Ren,No. The Supreme Leader is wise.
695,Han Solo,Snoke is using you for your power. When he gets what he wants he'll crush you. You know it's true.
696,Kylo Ren,It's too late. 
697,Han Solo,No it's not. Leave here with me. Come home. We miss you.
698,Kylo Ren,I'm being torn apart. I want to be free of this pain. I know what I have to do but I don't know if I have the strength to do it. Will you help me?
699,Han Solo,Yes. Anything.
700,Rey,No!
701,Kylo Ren,Thank you.
702,Rey,No.
703,Controller,The oscillator's been damaged... but is still functional.
704,Girl Officer,Admiral their weapon will fire in two minutes.
705,Finn (FN-2187),The Falcon's this way.
706,Kylo Ren,We're not done yet.
707,Rey,You're a monster.
708,Kylo Ren,It's just us now. Han Solo can't save you.
709,Finn (FN-2187),Rey! REY! Oh no. No no. REY! 
710,Kylo Ren,Traitor! That lightsaber. It belongs to me.
711,Finn (FN-2187),Come get it.
712,Pilot,We just lost R-1.
713,Jess,We're overwhelmed. What do we do? It isn't working.
714,Pilot 2,Black Leader there's a brand new hole in that oscillator. Looks like our friends got in.
715,Poe Dameron ,Red Four Red Six cover us.
716,Pilot 2,I'm on it.
717,Pilot 3 ,Roger.
718,Poe Dameron ,Everybody else hit the target hard. Give it everything you got. I need some help here. I need some help!
719,Pilot,Coming in!
720,Jess,Watch out!
721,Pilot,I'm hit!
722,Poe Dameron ,All teams I'm going in. Pull up and cover me.
723,Pilot 2,Copy that Black Leader. Good luck Poe.
724,Officer,Weapon fully charged in 3 seconds.
725,General Hux,Prepare to fire.
726,Kylo Ren,You need a teacher. I could show you the ways of the Force.
727,Rey,The Force?
728,Officer,All eyes on that TIE fighter.
729,Officer 2,We're losing power rapidly!
730,Captain,Lieutenant! Get back to your station!
731,Lieutenant,Just look! We won't survive. Even Hux is gone.
732,General Hux,Supreme Leader. The fuel cells have ruptured. The collapse of the planet has begun.
733,Snoke,Leave the base at once and come to me with Kylo Ren. It is time...to complete his training.
734,Rey,Finn! Finn!
735,Poe Dameron ,All teams I got eyes on them.
736,Pilot,Yes!
737,Poe Dameron ,Our job's done here. Let's go home.
738,Medic,Easy easy. He's hurt. We've got a heartbeat.
739,C-3PO,R2-D2! You've come back. You found what? How dare you call me that! Find Master Luke how? Come R2. We must go tell the others at once! General. Excuse me General. R2 may contain some much-needed good news.
740,Leia,Tell me.
741,Poe Dameron ,Yeah. All right buddy. Hold on.
742,C-3PO,The map it is complete.
743,Leia,Luke.
744,C-3PO,Oh my dear friend... how I've missed you.
745,Rey,We'll see each other again. I believe that. Thank you my friend.
746,Leia,Rey. May the Force be with you.
