,Characters,Script,Test,Gender,length
350,PADME,  We are your humble servants...our fate is in your hands.,False,Female,10
351,BOSS NASS," Yousa no tinken yousa greater den da Gungans.. Mesa like dis.
Maybe wesa bein friends.",False,Male,15
352,NUTE," ...we've sent out patrols. We've already located their starship in
the swamp....It won't be long My Lord",False,Male,17
353,GUNGAN LOOKOUT, Daza comen,False,,2
354,BOSS NASS, Yousa doen grand. Jar Jar bringen da Naboo together,False,Male,9
355,PADME, What is the situation,False,Female,4
356,PADME,  What do you think Master Jedi,False,Female,6
357,PADME," We have a plan which should immobilize the Droid Army. We will send
what pilots we have to knock out the Droid control ship which is orbiting
the planet. If we can get past their rayshields we can sever communication
and their droids will be helpless",False,Female,46
358,DARTH SIDIOUS, ...she is more foolish than I thought,False,Male,7
359,GENERAL CEEL, Energize the shields.,False,Male,3
360,QUI-GON," Once we get inside Annie you find a safe placeto hide and stay
there",False,Male,14
361,NUTE," I thought the battle was going to take place far from here...this is
too close",False,Male,15
362,DARTH MAUL, I told you there was more to this...the Jedi are involved.,False,Male,11
363,PADME, Get to your ships!,False,Female,4
364,NUTE, Better find a new hiding place kid. I'm taking this ship.,False,Male,11
365,PADME, My guess is the Viceroy is in the throne room.,False,Female,10
366,QUI-GON, I agree.,False,Male,2
367,ANAKIN, Hey! Wait for me,False,Male,4
368,QUI-GON,  We'' handle this...,False,Male,3
369,ANAKIN, Oh no...,False,Male,2
370,ANAKIN,  We gotta do something Artoo.,False,Male,5
371,ANAKIN,"  All right thanks Artoo! Great idea! I'll take over.
Let's see...",False,Male,11
372,ANAKIN,  Where's the trigger? Oops wrong one.. Maybe this one....,False,Male,9
373,ANAKIN,"  Yeah all right. ""Droid blaster."" Yeah!",False,Male,6
374,ANAKIN,"  Oops...shield up! Always on the right...shields always on
the right.",False,Male,10
375,ANAKIN,  I know we're moving. I'll shut the energy drive down.,False,Male,10
376,ANAKIN,  Oops!! Wrong one.,False,Male,3
377,ANAKIN,  I'm not doing anything!,False,Male,4
378,ANAKIN,  I know...I didn't push anything.,False,Male,5
379,RIC OLIE," Bravo Flight A take on the fighters. Flight B make the run on
the transmitter",False,Male,15
380,RIC OLIE, Enemy fighters straight ahead!,False,Male,4
381,ANAKIN, The Autopilot is searching for what other ships?,False,Male,8
382,ANAKIN,"  There is no manual override Artoo. You'll have to rewire
it or something.",False,Male,13
383,ANAKIN,"  Look! There they are! That's where the autopilot is
taking us.",False,Male,11
384,PADME, We don't have time for this Captain,False,Female,7
385,GENERAL CEEL, Retreat! Retreat!,False,Male,2
386,ANAKIN, Whoo boy! This is tense!,False,Male,5
387,ANAKN,  : Oops! Artoo get us off Autopilot!,False,,7
388,ANAKIN,  I've got control?,False,Male,3
389,ANAKIN,  Okay let's go left!,False,Male,4
390,ANAKIN,  Yes...I've got control. You did it Artoo!,False,Male,7
391,ANAKIN,"  Go back!?! Qui-Gon told me to stay in this cockpit and
that's what I'm gonna do. Now c'mon!",False,Male,18
392,ANAKIN,  Oops! Whoa!,False,Male,2
393,ANAKIN,  I'll try spinning that's a good trick.,False,Male,7
394,ANAKIN,"  I know we're in trouble! Hang on! The way out of this
mess is the way we got into it.",False,Male,20
395,ANAKIN,  Which one? This one?,False,Male,4
396,RIC OLIE, Bravo flight...go for the central bridge,False,Male,6
397,RIC OLIE," Their deflector shield is too strong. We'll never get through
it.",False,Male,11
398,ANAKIN, I know Artoo! This isn't Podracing!,False,Male,6
399,ANAKIN,  We're hit!,False,Male,2
400,ANAKIN,  Great gobs of bantha poo-doo!,False,Male,5
401,ANAKIN,  I'm trying to stop! I'm trying to stop! Whoa!,False,Male,9
402,ANAKIN,  All right! All right! Get the system started!,False,Male,8
403,ANAKIN,  Everything's overheated. All the lights are red.,False,Male,7
404,PADME, Throw down your weapons. They win this round,False,Female,8
405,JAR JAR, Dissa bad berry bombad,False,Male,4
406,NUTE," Your little insurrection is at an end Your Highness. Time for you
to sign the treaty...and end this pointless debate in the Senate.",False,Male,23
407,SABE, I will not be signing any treaty Viceroy because you've lost!,False,,11
408,NUTE, After her! This one is a decoy!,False,Male,7
409,NUTE,  Your Queen will not get away with this.,False,Male,8
410,PADME, Now Viceroy this is the end of your occupation here,False,Female,10
411,OBI-WAN, Master! Master,False,Male,2
412,ANAKIN, Uh oh. This is not good.,False,Male,6
413,ANAKIN,  The systems are still overheated Artoo.,False,Male,6
414,BATTLE DROID CAPTAIN, Where's your pilot?,False,Droid,3
415,BATTLE DROID CAPTAIN,  You're the pilot?,False,Droid,3
416,BATTLE DROID CAPTAIN,  Let me see your identification!,False,Droid,5
417,ANAKIN, Yes...we have ignition.,False,Male,3
418,BATTLE DROID CAPTAIN,"  You! Come out of there or we'll
blast you",False,Droid,9
419,ANAKIN,  This should stop them.,False,Male,4
420,ANAKIN,  ...and take this!,False,Male,3
421,ANAKIN,  Darn...I missed!,False,Male,2
422,ANAKIN,  Let's get out of here!,False,Male,5
423,ANAKIN,  Now this is Podracing! Whoopee!,False,Male,5
424,NUTE," Sir we're losing power... There is some problem with the main
reactor..",False,Male,12
425,BRAVO TWO, What's that?? It's blowing up from the inside,False,,8
426,JAR JAR, Wierdind...,False,Male,1
427,BRAVO TWO," He flew into the hold behind the deflector shield and blasted
the main reactor..",False,,14
428,RIC OLIE, We're all accounted for. Who flew that ship?,False,Male,8
429,ANAKIN, I'm not going to get into trouble am I?,False,Male,9
430,PADME," Now Viceroy you are going to have to go back to the Senate and
explain all this",False,Female,17
431,AMIDALA," Congratulations on youer election Chancellor. It is so good to
see you again",False,Female,13
432,YODA," Confer on you the level of Jedi Knight the Coucil does. But agree
on you taking this boy as your Padawan learner I do not",False,Male,25
433,OBI-WAN, He is one with the Force Anakin...You must let go,False,Male,10
434,MACE WINDU, There is no doubt. The mysterious warrior was a Sith,False,Male,10
435,QUI-GON,  Tell them we wish to board at once,False,Male,8
436,NUTE," Yes yes of coarse...ahhh...as you know our blockade is perfectly
legal and we'd be happy to recieve the Ambassador...Happy to.",False,Male,20
437,-4, I'm not made to think.,False,,5
438,QUI-GON, I don't sense anything,False,Male,4
439,-14, The Ambassadors are Jedi Knights I believe,False,,7
440,NE, Have you ever encountered a Jedi Knight before sir,False,,9
441,NE, We will not survive this.,False,,5
442,NE, Where are those destroyer droids?!,False,,5
443,OBI-WAN, Offhand I'd say this mission is past the negotiaion stage.,False,Male,10
444,QUI-GON, It's a standoff! Let's go!,False,Male,5
445,Y HOW, Sir they've gone up the ventilation shaft.,False,,7
446,OBI-WAN, It's an invisible army,False,Male,4
447,NE, It's Queen Amidala herself,False,,4
448,AMIDALA," You will not be pleased when you hear what I have to say
Viceroy...Your trade boycott of our planet has ended.",False,Female,21
449,AMIDALA," I have word that the Senate is finally voting on this blockade of
yours",False,Female,14
450,NUTE," Your Highness we would never do anything without the approval of
the Senate. You assume too much",False,Male,17
451,NUTE, It's too late now,False,Male,4
452,BBLE, A malfunction,False,,2
453,M-9," If they are down here sir we'll find them. We are moving out of
the swamp and are marching on the cities. We are meeting no resistance",False,,27
454,QUI-GON, Let go!,False,Male,2
455,JAR JAR, I spake,False,Male,2
456,QUI-GON, That wont be necessary,False,Male,4
457,JAR JAR, Say what?,False,Male,2
458,OBI-WAN, Yes Master,False,Male,2
459,JAR JAR, Ahhh will...on second taut...no not willy,False,Male,6
460,OBI-WAN," When they find us they will crush us grind us into little
pieces then blast us into oblivion",False,Male,18
461,JAR JAR, Wesa goen underwater okeyday?,False,Male,4
462,OBI-WAN, Don't worry this has not been our day for warm welcomes.,False,Male,11
463,PT. TARPALS," Noah gain Jar Jar. Yousa goen tada Bosses. Yousa in big
dudu this time.",False,,14
464,QUI-GON, That droid army is about to attack the Naboo. We must warn them,False,Male,13
465,QUI-GON, A transport I hope.,False,Male,4
466,QUI-GON, Thank you my friend,False,Male,4
467,QUI-GON," We'll need a navigator to get us through the planet's core. This
Gungan my be of help.",False,Male,17
468,BOSS NASS, Binkss brokeen the nocombackie law. Hisen to be pune-ished,False,Male,9
469,BOSS NASS, Binks. Yousa havena liveplay with thisen hisen?,False,Male,7
470,BOSS NASS, Hisen live tis yos outlauder. Begone wit him,False,Male,8
471,OBI-WAN," Master why do you keep dragging these pathetic life forms along
with us?...Here take over",False,Male,15
472,JAR JAR," Tis a long tale buta small part wawdabe
mesa...ooooh...aaaa.....clumsy",False,Male,9
473,OBI-WAN, Give me the controls.,False,Male,4
474,DARTH SIDIOUS," Good. I have the Senate bogged down in procedures. By the
time this incident comes up for a vote they will have no choice but to
accept your control of the system",False,Male,32
475,NUTE, No need to report that to him until we have something to report.,False,Male,13
476,JAR JAR," What yet? Monstairs out dare! Leak'n in here all'n sink'n and
nooooo power! You nutsen! WHEN YOUSA TINK WESA IN TROUBLE?!!!",False,Male,21
477,QUI-GON, Relax.,False,Male,1
478,JAR JAR, Wesa dead yet?? Oie Boie!,False,Male,5
479,QUI-GON, Get this thing started,False,Male,4
480,JAR JAR, No! Too scary,False,Male,3
481,TTLE DROID 3B3,  Drop your weapons!,False,,3
482,NUTE," The Naboo and the Federation will forge a treaty that will
legitimize our occupation here. I've been assured it will be ratified by
the Senate",False,Male,25
483,BBLE, Your negotiations seem to have failed Ambassador,False,,7
484,QUI-GON, Do you have transports,False,Male,4
485,QUI-GON," That won't be a problem.  Your Highness under the
circumstances Isuggest you come to Coruscant with us",False,Male,17
486,PADME, We are brave Your Highness,False,Female,5
487,QUI-GON," I'm Ambassador for the Supreme Chancellor and I'm taking those
people to Coruscant",False,Male,13
488,RIC OLIE," Powers back! That little droid did it. He bypassed the main
power drive. Deflector shield up at maximum.",False,Male,18
489,QUI-GON, We'll have to land somewhere to refuel and repair the ship.,False,Male,11
490,CAPT. PANAKA, How can you be sure,False,Male,5
491,DARTH SIDIOUS," Destroy all high-ranking officials
Viceroy...slowly...quietly. And Queen Amidala has she signed the treaty",False,Male,13
492,NUTE, Yes My Lord. The hologram fades off,False,Male,7
493,AMIDALA, It is to be commended...what is its number?,False,Female,8
494,AMIDALA, Thank you Artoo Detoo. You have proven to be very loyal...Padme!,False,Female,11
495,PTAIN PANAKA," Your Highness Tatooine is very dangerous. It's controlled
by an alliance of gangs called the Hutts. I do not agree with the Jedi on
this",False,,25
496,PADME, That's all right,False,Female,3
497,JAR JAR," Me no know...mesa day starten pitty okeyday witda brisky morning
munchen. Den boom....getten berry skeered un grabbed dat Jedi and before
mesa knowen it...pow! Mesa here. ...getten berry berry skeered.",False,Male,30
498,RIC OLIE, There's a settlement...a spaceport looks like,False,Male,6
499,OBI-WAN, Sorry Qui-Gon's right. You'll make things less obvious.,False,Male,8
500,OBI-WAN, I fell it also Master.,False,Male,5
501,QUI-GON," No more commands from Her Highness today Captain. This spaceport
is not going to be pleasant..",False,Male,16
502,PADME, ....like us. JAR JAR is in a constant state of panic.,False,Female,11
503,QUI-GON, I need parts for a J-type 327 Nubian,False,Male,8
504,ANAKIN,"  Mel tassa cho-passa... (I was cleaning the bin like
you...",False,Male,10
505,PADME, What,False,Female,1
506,PADME, You're a funny little boy. How do you know so much,False,Female,11
507,PADME," I'm sorry. I don't fully understand. This is a
strange world to me.",False,Female,13
508,QUI-GON, I have 2 Republic dataries,False,Male,5
509,ANAKIN, ...Anakin,False,Male,1
510,ANAKIN,"  WATTO :
 Fweepa niaga. Tolpa da bunky dunko. (Clean the racks then you
can go home.)",False,Male,16
511,OBI-WAN,"  A few containers of supplies the Queen's wardrobe maybe.
Not enough for you to barter with. Not in the ammounts you're talking
about",False,Male,23
512,QUI-GON, Not likely. We have nothing of value that's our problem.,False,Male,10
513,ANAKIN,  Because you're afraid.,False,Male,3
514,ANAKIN,"  Oh da Hutt...cha porko ootman geesa...me teesa rodda
co pana pee choppa chawa. (As in Hutt...big time outlander this one... I'd
hate to see you diced before we race again.",False,Male,30
515,JAR JAR, Nosir nosir. Mesa hate crunchen. Dat's da last ting mesa wanten,False,Male,11
516,ANAKIN," Fear attracts the fearful. He was trying to overcome his fear by
squashing you...be less afraid",False,Male,16
517,CAPT. PANAKA, It looks pretty bad. We'd better seal the ship.,False,Male,9
518,RA, The heat's never been kind to me you know Annie,False,,10
519,ANAKIN,  Do you have shelter,False,Male,4
520,JAR JAR, Dissen cozy.,False,Male,2
521,ANAKIN," These are my friends Mom. This is Padme and...gee I don't know
any of your names",False,Male,16
522,ANAKIN, Come on! Let me show you Threepio!,False,Male,7
523,MI," Oh tank you. Thank you so much. I'm sorry if I was abrupt. I'll
never get used to Anakin's surprises",False,,20
524,PADME, He's wonderful,False,Female,2
525,PADME, He's perfect,False,Female,2
526,QUI-GON, It sounds like bait to establish a connection trace,False,Male,9
527,DARTH SIDIOUS," Move against the Jedi first...you will then have no
difficulty taking the Queen back to Naboo where she will sign the treaty",False,Male,22
528,ANAKIN," I've been working on a scanner to try and locate them but no
luck",False,Male,14
529,PADME," I can't believe there is still slavery in the galaxy. The
Republic's anti-slavery laws..",False,Female,14
530,ANAKIN, I'm the only human who can do it.,False,Male,8
531,QUI-GON, You must have Jedi reflexes if you race Pods.,False,Male,9
532,QUI-GON, What,False,Male,1
533,ANAKIN, I don't think so... No one can kill a Jedi Knight,False,Male,11
534,ANAKIN, Coruscant...wow...how did you end up here in the outer rim,False,Male,10
535,QUI-GON," Your mother's right. Is there anyone friendly to the Republic who
might be able to help us?",False,Male,17
536,MI, Anakin don't...,False,,2
537,MI," No Annie's right there is no other way... I may not like it but
he can help you...he was meant to help you",False,,23
538,QUI-GON, The Queen does not need to know,False,Male,7
539,KAIN, No batta,False,,2
540,QUI-GON, My ship will be the entry fee.,False,Male,7
541,QUI-GON, It's in good order except for the parts we need,False,Male,10
542,WATTO,  That you did. The boy is good no doubts there,False,Male,10
543,WATTO,"  Deal! Yo bana pee ho-tah meedee ya. (Your friend is a
follish one methinks.)",False,Male,14
544,QUI-GON,"  A ship without a power supply will not get us anywhere and
there is something about this boy...",False,Male,18
545,MI, He knows nothing of greed. He has..,False,,7
546,ANAKIN," This isn't the half of it. I'm entered in the Boonta Race
tomorrow",False,Male,13
547,JAR JAR, Who mesa,False,Male,2
548,NUTE, But you don't even know if this thing will run,False,Male,10
549,ANAKIN, There are so many! Do they all have a system of planets,False,Male,12
550,QUI-GON, Checking your blood for infections,False,Male,5
551,OBI-WAN, Yes Master,False,Male,2
552,PADME," I hope not; I hate fighting. Your mother wants you to come in and
clean up. We have to leave soon. ANAKIN stands up and stretches just as
KITSTER arrives.",False,Female,30
553,QUI-GON," Patienc my blue friend. You'll have your winnings before the
suns set and we'll be far away from here",False,Male,19
554,QUI-GON, Why,False,Male,1
555,WATTO," No Pod's worth two slaves...not by a long shot...one slave or
nothing",False,Male,12
556,NUTE,"  This is so wizard! I'm sure you'll do it this time
Annie",False,Male,12
557,QUI-GON, Of course you will.,False,Male,4
558,ANAKIN, I will Mom. I promise.,False,Male,5
559,ANAKIN, I won't let you down.,False,Male,5
560,ANAKIN,"  Cha skrundee da pat sleemo. (Don't count on it
slime-ball.)",False,Male,10
561,DE/BEED," -
A : Ya pawa culka doe rundee! 
B : Hey it looks like they're clearing the grid.",False,,18
562,QUI-GON, He's fine,False,Male,2
563,NTA, Bug off.,False,,2
564,PADME, Here he comes!,False,Female,3
565,Y, Droids!,False,,1
566,WATTO, You can't have him! It wasn't a fair bet,False,Male,9
567,MI," It's so wonderful Annie. You have brought hope to those who have
none. I'm so very proud of you..",False,,19
568,OBI-WAN, Why do I sense we've picked up another pathetic life form...,False,Male,11
569,ANAKIN, He said I cheated,False,Male,4
570,ANAKIN,  Yes!,False,Male,1
571,QUI-GON, And Anakin has been freed,False,Male,5
572,QUI-GON," Let's just say Watto has learned an important lesson about
gambling",False,Male,11
573,ANAKIN," But it's what I want. What I've always dreamed about. Can I go
Mom?",False,Male,14
574,QUI-GON, Then pack your things. We haven't much time,False,Male,8
575,ANAKIN, But the money from selling..,False,Male,5
576,ANAKIN, I want to stay with you. I don't want things to change,False,Male,12
577,MI, I love you Annie...now hurry.,False,,5
578,QUI-GON, I will watch after him. You have my word. Will you be all right,False,Male,14
579,REEPIO," Master Annie you are my maker and I wish you well. Although
I'd like it better if I were a little less naked",False,,23
580,ANAKIN, I...  I... have to go.,False,Male,5
581,ANAKIN, Well,False,Male,1
582,ANAKIN, Will I ever see you again,False,Male,6
583,QUI-GON," Probe droid. Very unusual... not like anything I've seen before.
Come on.",False,Male,12
584,CAPT. PANAKA, Who are you,False,Male,3
585,LOT, I don't see anything,False,,4
586,QUI-GON, I think so... that was a surpirse I wont soon forget,False,Male,11
587,ANAKIN, Pleased to meet you. Wow! You're a Jedi too?,False,Male,9
588,BBLE," This invasion will gain you nothing. We're a democracy. The people
have decided... They will not live under your tyranny.",False,,20
589,ANAKIN, It's very cold.,False,Male,3
590,ANAKIN, You seem sad,False,Male,3
591,ANAKIN, I care for you too. Only I...miss...,False,Male,7
592,ANAKIN, Wow! It's so huge!,False,Male,4
593,LORUM," Welcome Your Highness. It is an honor to finally meet you in
person. I must relay to you how distressed everyone is over the currant
situation. I've called for a special session of the Senate to hear your
position",False,,39
594,ANAKIN, Don't look at me. I don't know what's going on.,False,Male,10
595,AMIDALA, Chancellor Valorum seems to think there is hope,False,Female,8
596,MACE WINDU, A Sith Lord?!,False,Male,3
597,QUI-GON," With your permission my Master. I have encountered a vergence in
the Force",False,Male,13
598,QUI-GON," Finding him was the will of the Force...I have no doubt of that.
There is too much happening here..",False,Male,19
599,ANAKIN, I'm...I'm looking for the handmaiden Padme.,False,Male,6
600,BE, Send him in.,False,,3
601,BE, I'm sorry Annie. Padme is not here right now.,False,,9
602,BE, Anakin Skywalker to see Padme Your Highness.,False,,7
603,ANAKIN, I'm going to the Jedi temple to start my training I hope.,False,Male,12
604,AMIDALA, We will tell her for you. We're sure her heart goes with you.,False,Female,13
605,AMIDALA, I wish I had your confidence in this Senator,False,Female,9
606,LORUM," The Chair does not recognize the Senator from the Trade
Federation at this time. Please return to your station.",False,,19
607,TT DOD," I object! There is no proof. This is incredible. We recommend a
commision be sent to Naboo to assertain the truth",False,,21
608,LORUM, The point...,False,,2
609,LORUM," The point is conceded...Section 523A take precedence here. Queen
Amidala of the Naboo will you defer your motion to allow a commission to
explore the validity of your accusations?",False,,29
610,LORUM, What?...No!,False,,1
611,D AMEDDA, The motion has been seconded by Bail Organa of Alderaan.,False,,10
612,TT DOD," The Trade Federation moves the motion be sent to the procedures
committee for study.",False,,14
613,S AMEDDA," Thew Supreme Chancellor requests a recess. Tomorrow we will
begin the vote.",False,,12
614,QUI-GON, Anakin will become A Jedi...I promise you,False,Male,7
615,ANAKIN, Cold sir,False,Male,2
616,MACE WINDU, Be mindful of your feelings..,False,Male,5
617,AMIDALA, To motivate us I imagine..,False,Female,5
618,PALPATINE," A surprise to be sure but a welcome one. I promise Your
Majesty if I am elected I will bring democracy back to the Republic. I
will put an end to corruption. The Trade Fedreation will lose its influence
over the bureaucrats and our people will be freed",False,,48
619,MACE WINDU, His cells contain a high concentration of midi-chlorians,False,Male,8
620,QUI-GON, He is the chosen one...you must see it,False,Male,8
621,MACE WINDU, We forbid it,False,Male,3
622,DA," Our own council we will keep on who is ready. More to learn he
has..",False,,15
623,QUI-GON," I brought Anakin here; he must stay in my charge. He has nowhere
else to go",False,Male,16
624,QUI-GON, From your point of view...,False,Male,5
625,AMIDALA," I welcome your help. Senator Palpatine fears the Federation means
to destroy me",False,Female,13
626,NUTE, Yes my Lord,False,Male,3
627,RIC OLIE, The forward stabalizer,False,Male,3
628,QUI-GON, I agree...I'm not sure what you hope to accomplish by this,False,Male,11
629,AMIDALA, Yes. I need your help.,False,Female,5
630,OBI-WAN, The war's over...No need for it now,False,Male,7
631,PADME, Annie! What are you doing here,False,Female,6
632,QUI-GON," The Gungans will not easily be swayed and we cannot use our
power to help her",False,Male,16
633,CAPT. PANAKA, Do you think they have been taken to camps,False,Male,9
634,PT. TARPALS, Binks!! Noah gain,False,,3
635,BOSS NASS," Naboo biggen. Yousa bringen da Mackineeks... Dya busten uss-en
omm. Yousa all bombad. Yousa all die'n mesa tink.",False,Male,18
636,PADME," I am Queen Amidala  This is my decoy...my
protection...my loyal bodyguard.",False,Female,11
637,DARTH SIDIOUS," This is an unexpected move for her. It's too aggresive..
Lord Maul be mindful",False,Male,14
638,ANAKIN, All right. They're here!,False,Male,4
639,JAR JAR, Oh no no no..,False,Male,4
640,CAPT. PANAKA," Almost everyone's in camps. A few hundred police and guards
have formed an underground movement. I brought as many of the keaders as I
could. The Federation Army's also much larger than we thought and much
stronger. Your Highness this is a battle I do not think we can win",False,Male,50
641,QUI-GON, The Viceroy will be well guarded,False,Male,6
642,QUI-GON," A well-conceived plan. However there's great risk. The weapons
on your fighters may not penetrate the shields on the control ship",False,Male,21
643,NUTE," We are sending all available troops to meet this army of hers
assembling near the swamp. It appears to be made up of primitives. We do
not expect much resistance",False,Male,30
644,ANAKIN, Sure,False,Male,1
645,NE, What is going on?,False,,4
646,QUI-GON, No Annie you stay there. Stay right where you are,False,Male,10
647,AVO TWO, Roger Bravo Leader.,False,,3
648,CAPT. PANAKA, Let's try the outside stairway.,False,Male,5
649,AVO TWO, ROger Bravo Leader.,False,,3
650,CAPT. PANAKA, But we can't...,False,Male,3
651,NERAL CEEL, Mesa hopen dissa working for da Queen.,False,,7
652,NUTE," Don't be absurd. There are too few of you. It won't be long before
hundreds of destroyer droids break in to rescue us.",False,Male,23
653,QUI-GON, It is too late...It's..,False,Male,4
654,ANAKIN, Not if I can help it! Shields up!,False,Male,8
655,FINE, Impossible!! I don't...,False,,3
656,RIC OLIE, I don't know we didn't hit it,False,Male,7
657,AVO THREE, Amazing... They don't teach that in the academy.,False,,8
658,CAPT. PANAKA, I think you can kiss your Trade franchise goodbye.,False,Male,9
659,PALPATINE," It's good to be home. Your boldness has saved our people Your
Majesty. It is you who should be congratulated. Together we shall bring
peace and prosperity to the Republic.",False,,30
660,OBI-WAN, Qui-Gon believed in him. I believe in Qui-Gon,False,Male,8
661,ANAKIN, What will happen to me now,False,Male,6
662,DA," Always two there are....no more...no less. A maste and an
apprentice",False,,11
663,PTAIN, Yes sir.,False,,2
664,OBI-WAN," It's not about the mission Master it's
somethging...elsewhere...elusive",False,Male,8
665,FINE," I knew it! They were sent to force a settlement eh. Blind me
we're done for!",False,,16
666,NUTE, Well not exactly but I don't... Seal off the bridge,False,Male,10
667,QUI-GON," It's an odd play for the Trade Federation. We've got to warn the
Naboo and contact Chancellor Valorum. Let's split up. Stow aboard separate
ships and meet down on the planet",False,Male,31
668,NUTE, At last we're getting results.,False,Male,5
669,NUTE, I take it you know the outcome. I wonder why they bother to vote,False,Male,14
670,AMIDALA, We will see.,False,Female,3
671,NE, Do you think she suspects an attack,False,,7
672,CAPT. PANAKA, It could be the Federation jamming us. Your Highness,False,Male,9
673,NUTE, Excellent.,False,Male,1
674,QUI-GON," The ability to speak does not make you intelligent. Now get outta
here!",False,Male,13
675,JAR JAR," Oh boot tis! Tis demunded byda guds. Tis a live debett tis. Mesa
culled Jaja Binkss.",False,Male,16
676,JAR JAR, Yousa sav-ed my again hey,False,Male,5
677,QUI-GON, No??,False,Male,1
678,JAR JAR, Oh! Yousa point is well seen. Dis way! Hurry!,False,Male,9
679,BOSS NASS," Wesa no like da Naboo! Un dey no like uss-ens. Da Naboo tink
day so smarty den us-ens. Day tink day brains so big",False,Male,24
680,JAR JAR, Ahhh...any hep hair would be hot.,False,Male,6
681,QUI-GON," He has been a great help to us. I hope the punishment will not be
too severe",False,Male,17
682,JAR JAR," Count mesa outta dis! Better dead here den deader in da
core...Yee guds whata mesa sayin?!",False,Male,16
683,JAR JAR, Hey ho? Where wesa goen?,False,Male,5
684,OBI-WAN, They banished you because you're clumsy?,False,Male,6
685,NUTE, The Queen has great faith the Senate will side with her,False,Male,11
686,OBI-WAN, Power's back.,False,Male,2
687,JAR JAR, Dissen berry good. Hey,False,Male,4
688,OBI-WAN, Get up here,False,Male,3
689,AMIDALA, I will not co-operate,False,Female,4
690,QUI-GON," The negotiations never took place. Your Highness we must make
contact with the republic.",False,Male,14
691,CAPT. PANAKA, In the main hanger. This way.,False,Male,6
692,AMIDALA, Thank you Ambassador but my place is here with my people,False,Female,11
693,QUI-GON, If you are to leave Your Highness it must be now,False,Male,11
694,DROID GUARD, You're under arrest!,False,,3
695,QUI-GON, It's controlled by the Hutts..,False,Male,5
696,NUTE," She has disappeared My Lord. One Naboo cruiser got pat the
blockade",False,Male,12
697,NUTE,  This is getting out of hand...now there are two of them,False,Male,11
698,QUI-GON, You must trust my judgement Your Highness.,False,Male,7
699,JAR JAR, I scovered oily back dare. Needen it,False,Male,7
700,QUI-GON, Land near the outskirts. We don't want to attract any attention.,False,Male,11
701,CAPT. PANAKA, The Queen wishes it. She is curious about this planet,False,Male,10
702,WATTO," Ah yes ah yes. Nubian. We have lots of that. What kinda junk?
 Peedenkel! Naba dee unko (Boy get in here! Now!",False,Male,22
703,WATTO,"  Chut-Chut! Ganda doe wallya. (Never mind! Watch the
store) Me dwana no bata. 
Soooo let me take- a thee out back. Ni you'll find what you need.",False,Male,27
704,ANAKIN," An angel. I've heard the deep space pilots talk about them. They
live on the Moons of Iego I thimk. They are the most beautiful creatures in
the universe. They are good and kind and so pretty they make even the most
hardened spice pirate cry.",False,Male,46
705,ANAKIN," Since I was very little three I think. My Mom and I were sold to
Gardulla the Hutt but she lost us betting on the Podraces to Watto
who's a lot better master than Gardulla I think",False,Male,37
706,WATTO," Republic credits?!? Republic credits are no good out here. I need
something more real..",False,Male,14
707,PADME, Anakin,False,Female,1
708,QUI-GON, All right. Another solution will present itself. I'll check back.,False,Male,10
709,BULBA,"  Neek me chowa wermo mo killee ma klounkee(Next time
we race wermo it will be the end of you!) Una noto wo shag me wompity du
pom pom. ",False,,28
710,QUI-GON," Nevertheless the boy is right...you were heading for trouble.
Thank you my young friend.",False,Male,14
711,PADME, And that works for you,False,Female,5
712,ANAKIN," Guess what? I've found that cooling unit I've been searching for.
It's pretty beat up but I'll have it fixed up for you in no time I
promise",False,Male,28
713,QUI-GON, We'll hed back to our ship,False,Male,6
714,QUI-GON," I'm Qui-Gon Jinn and this is Jar Jar Binks. ARTOO lets out a
little beep",False,Male,15
715,QUI-GON," He's a very special boy. SHMI looks at him as if he's discovered
a secret",False,Male,15
716,ANAKIN, You reall like him? He's a protocol droid...to help Mom. Watch!,False,Male,11
717,ANAKIN," When the storm is over you can see my racer. I'm building a
Podracer!",False,Male,14
718,OBI-WAN, What if it is true and the people are dying,False,Male,10
719,DARTH MAUL," At last we will reveal ourselves to the Jedi. At last we will
have revenge",False,Male,15
720,MI, Any attempt to escape..,False,,4
721,MI, The Republic doesn't exist out here...we must survive on our own.,False,,11
722,ANAKIN, Well ahhh...you're a Jedi Knight aren't you,False,Male,7
723,QUI-GON, I wish that were so..,False,Male,5
724,PADME," Our ship was damaged and we're stranded here until we can repair
it",False,Female,13
725,ANAKIN, Is that a yes? That is a yes!,False,Male,8
726,PADME, Well I don't approve.,False,Female,4
727,WATTO, Pedunky. Maa kee cheelya,False,Male,4
728,WATTO," ...but what would the boy ride? He smashed up my Pod in the last
race. It will take some time to fix it.",False,Male,23
729,QUI-GON," I have...acquired a Pod in a game of chance. ""The fastest ever
built.",False,Male,13
730,QUI-GON, He has special powers,False,Male,4
731,NUTE, What? With this?,False,Male,3
732,ANAKIN, If your hand gets caught in that beam it will go numb for hours.,False,Male,14
733,ANAKIN, It will.,False,Male,2
734,QUI-GON, Most of them,False,Male,3
735,ANAKIN, I've never seen..,False,Male,3
736,QUI-GON, Make an analysis of this blood sample I'm sending you,False,Male,10
737,WATTO," Not if your ship belongs to me I think...I warn you no funny
business",False,Male,14
738,WATTO, He always wins.  I'm betting heavily on Sebulba,False,Male,8
